delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
1.5,G Gambhir,MJ McClenaghan,0,RV Uthappa,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0,0,0,0,0,2,0,2,Kolkata Knight Riders,Mumbai,2016-04-28,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,RG Sharma,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
1.6,G Gambhir,MJ McClenaghan,0,RV Uthappa,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Mumbai,2016-04-28,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,RG Sharma,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
2.1,G Gambhir,TG Southee,0,RV Uthappa,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kolkata Knight Riders,Mumbai,2016-04-28,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,RG Sharma,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
2.2,G Gambhir,TG Southee,0,RV Uthappa,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Mumbai,2016-04-28,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,RG Sharma,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
2.3,RV Uthappa,TG Southee,0,G Gambhir,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kolkata Knight Riders,Mumbai,2016-04-28,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,RG Sharma,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
2.4,RV Uthappa,TG Southee,0,G Gambhir,"{'batsman': 3, 'extras': 0, 'total': 3}",0,0.0,0,0.0,0,0,0,0,0,3,0,3,Kolkata Knight Riders,Mumbai,2016-04-28,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,RG Sharma,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
2.5,G Gambhir,TG Southee,0,RV Uthappa,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0,0,0,0,0,4,0,4,Kolkata Knight Riders,Mumbai,2016-04-28,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,RG Sharma,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
2.6,G Gambhir,TG Southee,0,RV Uthappa,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Mumbai,2016-04-28,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,RG Sharma,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
3.1,G Gambhir,MJ McClenaghan,0,RV Uthappa,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Mumbai,2016-04-28,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,RG Sharma,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
3.2,RV Uthappa,MJ McClenaghan,0,G Gambhir,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0,0,0,0,0,1,0,1,Kolkata Knight Riders,Mumbai,2016-04-28,male,T20,0,Mumbai Indians,wickets,6,0,0,0,0,RG Sharma,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
