delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
2.4,ML Hayden,DP Nannes,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Johannesburg,2009-05-02,male,T20,1,Chennai Super Kings,runs,18,0,0,0,0,SB Jakati,20,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium
2.5,M Vijay,DP Nannes,0,ML Hayden,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Johannesburg,2009-05-02,male,T20,1,Chennai Super Kings,runs,18,0,0,0,0,SB Jakati,20,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium
2.6,ML Hayden,DP Nannes,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Johannesburg,2009-05-02,male,T20,1,Chennai Super Kings,runs,18,0,0,0,0,SB Jakati,20,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium
3.1,ML Hayden,PJ Sangwan,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Johannesburg,2009-05-02,male,T20,1,Chennai Super Kings,runs,18,0,0,0,0,SB Jakati,20,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium
3.2,M Vijay,PJ Sangwan,0,ML Hayden,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0.0,0.0,0.0,0,0,0,0,2,0,2,Chennai Super Kings,Johannesburg,2009-05-02,male,T20,1,Chennai Super Kings,runs,18,0,0,0,0,SB Jakati,20,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium
3.3,M Vijay,PJ Sangwan,0,ML Hayden,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Johannesburg,2009-05-02,male,T20,1,Chennai Super Kings,runs,18,0,0,0,0,SB Jakati,20,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium
3.4,ML Hayden,PJ Sangwan,0,M Vijay,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,Chennai Super Kings,Johannesburg,2009-05-02,male,T20,1,Chennai Super Kings,runs,18,0,0,0,0,SB Jakati,20,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium
3.5,ML Hayden,PJ Sangwan,0,M Vijay,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,1,Chennai Super Kings,Johannesburg,2009-05-02,male,T20,1,Chennai Super Kings,runs,18,0,0,0,0,SB Jakati,20,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium
3.6,M Vijay,PJ Sangwan,0,ML Hayden,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0.0,0.0,0.0,0,0,0,0,4,0,4,Chennai Super Kings,Johannesburg,2009-05-02,male,T20,1,Chennai Super Kings,runs,18,0,0,0,0,SB Jakati,20,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium
4.1,ML Hayden,A Nehra,0,M Vijay,"{'batsman': 6, 'extras': 0, 'total': 6}",0,0.0,0.0,0.0,0.0,0,0,0,0,6,0,6,Chennai Super Kings,Johannesburg,2009-05-02,male,T20,1,Chennai Super Kings,runs,18,0,0,0,0,SB Jakati,20,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,field,New Wanderers Stadium
