delivery,batsman,bowler,extras_dict,non_striker,runs_dict,wicket_dict,wides,noballs,legbyes,byes,penalty,kind,player_out,fielders,runs,extras,total,team,city,date,gender,match_type,neutral_venue,winner,winType,winMargin,result,resultHow,resultTeam,non_boundary,ManOfMatch,overs,team1,team2,tossWinner,tossDecision,venue
0.1,G Gambhir,DS Kulkarni,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Mumbai,2011-05-25,male,T20,0,Mumbai Indians,wickets,4,0,0,0,0,MM Patel,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
0.2,G Gambhir,DS Kulkarni,0,JH Kallis,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Mumbai,2011-05-25,male,T20,0,Mumbai Indians,wickets,4,0,0,0,0,MM Patel,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
0.3,G Gambhir,DS Kulkarni,{'wides': 1},JH Kallis,"{'batsman': 0, 'extras': 1, 'total': 1}",0,1.0,0,0.0,0.0,0,0,0,0,0,1,1,Kolkata Knight Riders,Mumbai,2011-05-25,male,T20,0,Mumbai Indians,wickets,4,0,0,0,0,MM Patel,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
0.4,G Gambhir,DS Kulkarni,{'legbyes': 1},JH Kallis,"{'batsman': 0, 'extras': 1, 'total': 1}",0,0.0,0,1.0,0.0,0,0,0,0,0,1,1,Kolkata Knight Riders,Mumbai,2011-05-25,male,T20,0,Mumbai Indians,wickets,4,0,0,0,0,MM Patel,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
0.5,JH Kallis,DS Kulkarni,0,G Gambhir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Mumbai,2011-05-25,male,T20,0,Mumbai Indians,wickets,4,0,0,0,0,MM Patel,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
0.6,JH Kallis,DS Kulkarni,0,G Gambhir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Mumbai,2011-05-25,male,T20,0,Mumbai Indians,wickets,4,0,0,0,0,MM Patel,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
0.7,JH Kallis,DS Kulkarni,0,G Gambhir,"{'batsman': 1, 'extras': 0, 'total': 1}",0,0.0,0,0.0,0.0,0,0,0,0,1,0,1,Kolkata Knight Riders,Mumbai,2011-05-25,male,T20,0,Mumbai Indians,wickets,4,0,0,0,0,MM Patel,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
1.1,JH Kallis,MM Patel,0,G Gambhir,"{'batsman': 2, 'extras': 0, 'total': 2}",0,0.0,0,0.0,0.0,0,0,0,0,2,0,2,Kolkata Knight Riders,Mumbai,2011-05-25,male,T20,0,Mumbai Indians,wickets,4,0,0,0,0,MM Patel,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
1.2,JH Kallis,MM Patel,0,G Gambhir,"{'batsman': 0, 'extras': 0, 'total': 0}",0,0.0,0,0.0,0.0,0,0,0,0,0,0,0,Kolkata Knight Riders,Mumbai,2011-05-25,male,T20,0,Mumbai Indians,wickets,4,0,0,0,0,MM Patel,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
1.3,JH Kallis,MM Patel,0,G Gambhir,"{'batsman': 4, 'extras': 0, 'total': 4}",0,0.0,0,0.0,0.0,0,0,0,0,4,0,4,Kolkata Knight Riders,Mumbai,2011-05-25,male,T20,0,Mumbai Indians,wickets,4,0,0,0,0,MM Patel,20,Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,field,Wankhede Stadium
